App name,No.,Time,Source,Destination,Protocol,Length
WhatsApp,1,0,172.30.1.1,172.30.1.250,DNS,108
WhatsApp,2,0.066455,172.30.1.250,172.30.1.1,DNS,148
WhatsApp,3,0.090709,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,4,0.121591,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,5,0.121794,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,6,0.129773,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,7,0.130003,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,8,0.130061,172.30.1.1,172.30.1.250,SSL,100
WhatsApp,9,0.1301,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,10,0.133848,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,11,0.134018,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,12,0.135796,172.30.1.1,172.30.1.250,SSL,352
WhatsApp,13,0.135974,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,14,0.207503,172.30.1.250,172.30.1.1,SSL,268
WhatsApp,15,0.207765,172.30.1.1,172.30.1.250,TCP,88
Facebook,16,0.294303,172.30.1.1,172.30.1.250,DNS,116
WhatsApp,17,0.310318,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,18,0.310658,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,19,0.310746,172.30.1.1,172.30.1.250,SSL,296
WhatsApp,20,0.310816,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,21,0.32235,172.30.1.250,172.30.1.1,SSL,132
WhatsApp,22,0.322471,172.30.1.1,172.30.1.250,TCP,88
Facebook,23,0.324624,172.30.1.1,172.30.1.250,TCP,108
Facebook,24,0.335684,172.30.1.250,172.30.1.1,DNS,156
Messenger,25,0.346322,172.30.1.1,172.30.1.250,TCP,108
Facebook,26,0.349828,172.30.1.250,172.30.1.1,TCP,96
Facebook,27,0.349921,172.30.1.1,172.30.1.250,TCP,88
Facebook,28,0.356087,172.30.1.1,172.30.1.250,TLSv1.3,604
Facebook,29,0.356435,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,30,0.36697,172.30.1.250,172.30.1.1,SSL,284
WhatsApp,31,0.367196,172.30.1.1,172.30.1.250,TCP,88
Messenger,32,0.376966,172.30.1.250,172.30.1.1,TCP,96
Messenger,33,0.377229,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,34,0.377288,172.30.1.250,172.30.1.1,SSL,124
WhatsApp,35,0.377406,172.30.1.1,172.30.1.250,TCP,88
Messenger,36,0.379715,172.30.1.1,172.30.1.250,TLSv1.3,488
Messenger,37,0.380244,172.30.1.250,172.30.1.1,TCP,88
Messenger,38,0.381017,172.30.1.1,172.30.1.250,TLSv1.3,504
Messenger,39,0.381149,172.30.1.250,172.30.1.1,TCP,88
Facebook,40,0.391797,172.30.1.250,172.30.1.1,TLSv1.3,292
Facebook,41,0.392185,172.30.1.1,172.30.1.250,TCP,88
Facebook,42,0.396711,172.30.1.1,172.30.1.250,TLSv1.3,152
Facebook,43,0.397053,172.30.1.250,172.30.1.1,TCP,88
Facebook,44,0.404207,172.30.1.1,172.30.1.250,TLSv1.3,356
Facebook,45,0.404449,172.30.1.250,172.30.1.1,TCP,88
Messenger,46,0.430878,172.30.1.250,172.30.1.1,TLSv1.3,304
Messenger,47,0.431203,172.30.1.1,172.30.1.250,TCP,88
Facebook,48,0.431217,172.30.1.250,172.30.1.1,TLSv1.3,264
Messenger,49,0.431273,172.30.1.250,172.30.1.1,TLSv1.3,204
Facebook,50,0.431312,172.30.1.1,172.30.1.250,TCP,88
Messenger,51,0.431315,172.30.1.1,172.30.1.250,TCP,88
Messenger,52,0.432711,172.30.1.1,172.30.1.250,TLSv1.3,172
Messenger,53,0.432786,172.30.1.250,172.30.1.1,TCP,88
Messenger,54,0.433012,172.30.1.1,172.30.1.250,TLSv1.3,120
Messenger,55,0.433025,172.30.1.250,172.30.1.1,TCP,88
Messenger,56,0.45853,172.30.1.250,172.30.1.1,TLSv1.3,168
Messenger,57,0.458631,172.30.1.1,172.30.1.250,TCP,88
Facebook,58,0.47053,172.30.1.250,172.30.1.1,TLSv1.3,112
Messenger,59,0.470852,172.30.1.250,172.30.1.1,TLSv1.3,268
Facebook,60,0.471336,172.30.1.1,172.30.1.250,TCP,88
Messenger,61,0.471355,172.30.1.1,172.30.1.250,TCP,88
Facebook,62,0.472513,172.30.1.250,172.30.1.1,TLSv1.3,128
Facebook,63,0.472651,172.30.1.1,172.30.1.250,TCP,88
Messenger,64,0.475857,172.30.1.1,172.30.1.250,DNS,120
Facebook,65,0.478384,172.30.1.1,172.30.1.250,TLSv1.3,196
Facebook,66,0.478652,172.30.1.250,172.30.1.1,TCP,88
Messenger,67,0.511882,172.30.1.250,172.30.1.1,DNS,172
Messenger,68,0.526763,172.30.1.1,172.30.1.250,TLSv1.3,344
Messenger,69,0.527185,172.30.1.250,172.30.1.1,TCP,88
Messenger,70,0.531969,172.30.1.1,172.30.1.250,TLSv1.3,312
Messenger,71,0.532174,172.30.1.250,172.30.1.1,TCP,88
Facebook,72,0.536893,172.30.1.250,172.30.1.1,TLSv1.3,112
Facebook,73,0.537,172.30.1.1,172.30.1.250,TCP,88
Facebook,74,0.549507,172.30.1.1,172.30.1.250,TLSv1.3,356
Facebook,75,0.550006,172.30.1.250,172.30.1.1,TCP,88
Facebook,76,0.55118,172.30.1.1,172.30.1.250,TLSv1.3,300
Facebook,77,0.551362,172.30.1.250,172.30.1.1,TCP,88
Messenger,78,0.5652,172.30.1.1,172.30.1.250,TLSv1.3,140
Messenger,79,0.565685,172.30.1.250,172.30.1.1,TCP,88
Facebook,80,0.578462,172.30.1.1,172.30.1.250,TLSv1.3,292
Facebook,81,0.578884,172.30.1.250,172.30.1.1,TCP,88
Facebook,82,0.589415,172.30.1.1,172.30.1.250,TLSv1.3,304
Facebook,83,0.589751,172.30.1.250,172.30.1.1,TCP,88
Facebook,84,0.595613,172.30.1.1,172.30.1.250,QUIC,1308
Facebook,85,0.596565,172.30.1.1,172.30.1.250,QUIC,148
Facebook,86,0.597072,172.30.1.1,172.30.1.250,DNS,112
Messenger,87,0.607722,172.30.1.250,172.30.1.1,TLSv1.3,124
Messenger,88,0.607949,172.30.1.1,172.30.1.250,TCP,88
Messenger,89,0.611767,172.30.1.1,172.30.1.250,TLSv1.3,352
Messenger,90,0.611832,172.30.1.250,172.30.1.1,TLSv1.3,124
Messenger,91,0.612012,172.30.1.1,172.30.1.250,TCP,88
Messenger,92,0.612354,172.30.1.250,172.30.1.1,TCP,88
Facebook,93,0.61867,172.30.1.250,172.30.1.1,TLSv1.3,140
Messenger,94,0.621459,172.30.1.250,172.30.1.1,TLSv1.3,188
Messenger,95,0.621601,172.30.1.1,172.30.1.250,TCP,88
Messenger,96,0.626865,172.30.1.1,172.30.1.250,TLSv1.3,324
Messenger,97,0.62706,172.30.1.250,172.30.1.1,TCP,88
Messenger,98,0.637907,172.30.1.1,172.30.1.250,TLSv1.3,448
Messenger,99,0.638088,172.30.1.250,172.30.1.1,TCP,88
Facebook,100,0.638914,172.30.1.250,172.30.1.1,TLSv1.3,308
Messenger,101,0.638952,172.30.1.250,172.30.1.1,TLSv1.3,124
Facebook,102,0.639026,172.30.1.1,172.30.1.250,TCP,88
Messenger,103,0.641858,172.30.1.1,172.30.1.250,TLSv1.3,408
Messenger,104,0.641955,172.30.1.250,172.30.1.1,TCP,88
Facebook,105,0.641992,172.30.1.250,172.30.1.1,QUIC,1308
Facebook,106,0.642082,172.30.1.250,172.30.1.1,QUIC,248
Facebook,107,0.642097,172.30.1.250,172.30.1.1,QUIC,124
Facebook,108,0.642107,172.30.1.250,172.30.1.1,QUIC,156
Facebook,109,0.644814,172.30.1.250,172.30.1.1,TLSv1.3,112
Facebook,110,0.644911,172.30.1.250,172.30.1.1,DNS,152
Facebook,111,0.648793,172.30.1.1,172.30.1.250,QUIC,160
Facebook,112,0.649005,172.30.1.1,172.30.1.250,QUIC,1212
Messenger,113,0.650649,172.30.1.1,172.30.1.250,TLSv1.3,312
Messenger,114,0.650774,172.30.1.250,172.30.1.1,TCP,88
Facebook,115,0.653892,172.30.1.250,172.30.1.1,TLSv1.3,112
Messenger,116,0.65609,172.30.1.1,172.30.1.250,TCP,108
Facebook,117,0.657027,172.30.1.1,172.30.1.250,TCP,88
Facebook,118,0.673408,172.30.1.250,172.30.1.1,TLSv1.3,1168
Facebook,119,0.681724,172.30.1.250,172.30.1.1,QUIC,116
Facebook,120,0.681816,172.30.1.250,172.30.1.1,QUIC,188
Facebook,121,0.681852,172.30.1.250,172.30.1.1,QUIC,348
Facebook,122,0.683808,172.30.1.1,172.30.1.250,QUIC,124
Messenger,123,0.689051,172.30.1.250,172.30.1.1,TLSv1.3,124
Messenger,124,0.693701,172.30.1.250,172.30.1.1,TCP,96
Messenger,125,0.693893,172.30.1.1,172.30.1.250,TCP,88
Messenger,126,0.698277,172.30.1.1,172.30.1.250,TCP,92
Messenger,127,0.698563,172.30.1.1,172.30.1.250,TCP,96
Messenger,128,0.698604,172.30.1.1,172.30.1.250,TCP,92
Messenger,129,0.698898,172.30.1.250,172.30.1.1,TCP,88
Messenger,130,0.699823,172.30.1.1,172.30.1.250,TCP,1304
Messenger,131,0.699898,172.30.1.250,172.30.1.1,TCP,88
Messenger,132,0.70876,172.30.1.250,172.30.1.1,TLSv1.3,156
Messenger,133,0.709113,172.30.1.1,172.30.1.250,TCP,88
Facebook,134,0.711411,172.30.1.250,172.30.1.1,QUIC,124
Facebook,135,0.714521,172.30.1.1,172.30.1.250,TCP,88
Messenger,136,0.714558,172.30.1.250,172.30.1.1,TLSv1.3,124
Messenger,137,0.72835,172.30.1.250,172.30.1.1,TLSv1.3,124
Messenger,138,0.728969,172.30.1.1,172.30.1.250,TCP,88
Messenger,139,0.729997,172.30.1.250,172.30.1.1,TLSv1.3,356
Messenger,140,0.753064,172.30.1.250,172.30.1.1,TLSv1.3,328
Messenger,141,0.754147,172.30.1.1,172.30.1.250,TCP,88
Messenger,142,0.770481,172.30.1.250,172.30.1.1,TCP,144
Messenger,143,0.770813,172.30.1.1,172.30.1.250,TCP,88
Facebook,144,0.774338,172.30.1.250,172.30.1.1,QUIC,924
Messenger,145,0.777877,172.30.1.250,172.30.1.1,TCP,144
Messenger,146,0.778059,172.30.1.1,172.30.1.250,TCP,88
Messenger,147,0.788883,172.30.1.1,172.30.1.250,TCP,132
Messenger,148,0.789107,172.30.1.250,172.30.1.1,TCP,88
Facebook,149,0.791475,172.30.1.1,172.30.1.250,QUIC,124
Messenger,150,0.834999,172.30.1.250,172.30.1.1,TLSv1.3,300
Facebook,151,0.843113,172.30.1.250,172.30.1.1,QUIC,124
Messenger,152,0.879094,172.30.1.1,172.30.1.250,TCP,88
Messenger,153,0.894219,172.30.1.250,172.30.1.1,TCP,184
Messenger,154,0.894387,172.30.1.1,172.30.1.250,TCP,88
Messenger,155,0.935836,172.30.1.250,172.30.1.1,TLSv1.3,188
Messenger,156,0.939031,172.30.1.1,172.30.1.250,TCP,88
Messenger,157,0.948311,172.30.1.250,172.30.1.1,TCP,124
Messenger,158,0.948452,172.30.1.1,172.30.1.250,TCP,88
Facebook,159,0.987323,172.30.1.250,172.30.1.1,TLSv1.3,332
Facebook,160,0.987412,172.30.1.1,172.30.1.250,TCP,88
Messenger,161,1.020743,172.30.1.250,172.30.1.1,TLSv1.3,424
Messenger,162,1.020826,172.30.1.1,172.30.1.250,TCP,88
Netflix,163,1.096276,172.30.1.1,172.30.1.250,DNS,120
Netflix,164,1.118111,172.30.1.250,172.30.1.1,DNS,360
Netflix,165,1.122345,172.30.1.1,172.30.1.250,TCP,108
Facebook,166,1.123047,172.30.1.250,172.30.1.1,TLSv1.3,2700
Facebook,167,1.123101,172.30.1.1,172.30.1.250,TCP,88
Facebook,168,1.125883,172.30.1.250,172.30.1.1,TLSv1.3,2700
Facebook,169,1.125947,172.30.1.1,172.30.1.250,TCP,88
Facebook,170,1.129209,172.30.1.250,172.30.1.1,TLSv1.3,804
Facebook,171,1.129292,172.30.1.1,172.30.1.250,TCP,88
Facebook,172,1.131523,172.30.1.1,172.30.1.250,TLSv1.3,112
Facebook,173,1.131582,172.30.1.250,172.30.1.1,TCP,88
Netflix,174,1.155017,172.30.1.250,172.30.1.1,TCP,96
Netflix,175,1.155118,172.30.1.1,172.30.1.250,TCP,88
Netflix,176,1.156101,172.30.1.1,172.30.1.250,TLSv1.3,636
Netflix,177,1.156243,172.30.1.250,172.30.1.1,TCP,88
