App name,No.,Time,Source,Destination,Protocol,Length
Messenger,1,0,172.30.1.1,172.30.1.250,TCP,108
Messenger,2,0.051611,172.30.1.250,172.30.1.1,TCP,96
Messenger,3,0.05173,172.30.1.1,172.30.1.250,TCP,88
Messenger,4,0.053832,172.30.1.1,172.30.1.250,TLSv1.3,488
Messenger,5,0.054048,172.30.1.250,172.30.1.1,TCP,88
Messenger,6,0.055015,172.30.1.1,172.30.1.250,TLSv1.3,496
Messenger,7,0.055061,172.30.1.250,172.30.1.1,TCP,88
Messenger,8,0.11984,172.30.1.250,172.30.1.1,TLSv1.3,2700
Messenger,9,0.119978,172.30.1.1,172.30.1.250,TCP,88
Messenger,10,0.119989,172.30.1.250,172.30.1.1,TLSv1.3,712
Messenger,11,0.120002,172.30.1.1,172.30.1.250,TCP,88
Messenger,12,0.150309,172.30.1.1,172.30.1.250,TLSv1.3,144
Messenger,13,0.150326,172.30.1.1,172.30.1.250,TLSv1.3,492
Messenger,14,0.15047,172.30.1.250,172.30.1.1,TCP,88
Messenger,15,0.212114,172.30.1.250,172.30.1.1,TLSv1.3,340
Messenger,16,0.212241,172.30.1.1,172.30.1.250,TCP,88
Messenger,17,0.212893,172.30.1.1,172.30.1.250,TLSv1.3,120
Messenger,18,0.212983,172.30.1.250,172.30.1.1,TCP,88
Messenger,19,0.219886,172.30.1.250,172.30.1.1,TLSv1.3,132
Messenger,20,0.219968,172.30.1.1,172.30.1.250,TCP,88
Messenger,21,0.232198,172.30.1.250,172.30.1.1,TLSv1.3,168
Messenger,22,0.232283,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,23,0.273752,172.30.1.1,172.30.1.250,TCP,108
Messenger,24,0.317034,172.30.1.1,172.30.1.250,TLSv1.3,312
Messenger,25,0.31727,172.30.1.250,172.30.1.1,TCP,88
Messenger,26,0.318524,172.30.1.1,172.30.1.250,TLSv1.3,140
Messenger,27,0.318663,172.30.1.250,172.30.1.1,TCP,88
Messenger,28,0.325019,172.30.1.1,172.30.1.250,TLSv1.3,348
Messenger,29,0.325091,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,30,0.325134,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,31,0.325195,172.30.1.1,172.30.1.250,TCP,88
Messenger,32,0.330107,172.30.1.1,172.30.1.250,TLSv1.3,320
Messenger,33,0.330259,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,34,0.331908,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,35,0.332115,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,36,0.332177,172.30.1.1,172.30.1.250,SSL,100
WhatsApp,37,0.332231,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,38,0.334847,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,39,0.334988,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,40,0.335042,172.30.1.1,172.30.1.250,SSL,352
Messenger,41,0.33506,172.30.1.1,172.30.1.250,TLSv1.3,448
Messenger,42,0.335107,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,43,0.335153,172.30.1.250,172.30.1.1,TCP,88
Messenger,44,0.337919,172.30.1.1,172.30.1.250,TLSv1.3,408
Messenger,45,0.337987,172.30.1.250,172.30.1.1,TCP,88
Messenger,46,0.341246,172.30.1.1,172.30.1.250,TLSv1.3,312
Messenger,47,0.341388,172.30.1.250,172.30.1.1,TCP,88
Messenger,48,0.348251,172.30.1.1,172.30.1.250,DNS,120
Messenger,49,0.399555,172.30.1.1,172.30.1.250,DNS,172
