App name,No.,Time,Source,Destination,Protocol,Length
Pandora,1,0,172.30.1.1,172.30.1.250,DNS,112
Pandora,2,0.153792,172.30.1.250,172.30.1.1,DNS,224
Pandora,3,0.155778,172.30.1.1,172.30.1.250,TCP,108
Pandora,4,0.193797,172.30.1.250,172.30.1.1,TCP,96
Pandora,5,0.193925,172.30.1.1,172.30.1.250,TCP,88
Pandora,6,0.195,172.30.1.1,172.30.1.250,TLSv1.2,604
Pandora,7,0.195182,172.30.1.250,172.30.1.1,TCP,88
Pandora,8,0.301207,172.30.1.250,172.30.1.1,TLSv1.2,1392
Pandora,9,0.301627,172.30.1.1,172.30.1.250,TCP,88
Pandora,10,0.301717,172.30.1.250,172.30.1.1,TLSv1.2,1724
Pandora,11,0.30198,172.30.1.1,172.30.1.250,TCP,88
Pandora,12,0.308238,172.30.1.1,172.30.1.250,TLSv1.2,428
Pandora,13,0.308576,172.30.1.250,172.30.1.1,TCP,88
Pandora,14,0.368105,172.30.1.250,172.30.1.1,TLSv1.2,164
Pandora,15,0.377651,172.30.1.1,172.30.1.250,TLSv1.2,492
Pandora,16,0.378239,172.30.1.250,172.30.1.1,TCP,88
Pandora,17,0.378749,172.30.1.1,172.30.1.250,TLSv1.2,8332
Pandora,18,0.379172,172.30.1.250,172.30.1.1,TCP,88
Pandora,19,0.37956,172.30.1.1,172.30.1.250,TLSv1.2,8332
Pandora,20,0.379793,172.30.1.250,172.30.1.1,TCP,88
Pandora,21,0.380407,172.30.1.1,172.30.1.250,TLSv1.2,8332
Pandora,22,0.380476,172.30.1.250,172.30.1.1,TCP,88
Pandora,23,0.382408,172.30.1.1,172.30.1.250,TLSv1.2,8332
Pandora,24,0.382479,172.30.1.250,172.30.1.1,TCP,88
Pandora,25,0.382704,172.30.1.1,172.30.1.250,TLSv1.2,8332
Pandora,26,0.38276,172.30.1.250,172.30.1.1,TCP,88
Pandora,27,0.382963,172.30.1.1,172.30.1.250,TLSv1.2,8332
